ZIP,total_evs,total_charging_stations,median_income,evs_per_station
98047,119.0,0.0,46.1744186,119.0
98340,118.0,0.0,71.48429752,118.0
98596,117.0,0.0,45.47741935,117.0
99324,116.0,5.0,43.17346939,19.333333333333332
99350,115.0,0.0,52.83407407,115.0
98815,114.0,0.0,52.2977492,114.0
98640,113.0,0.0,44.51142857,113.0
98944,113.0,2.0,34.87103825,37.666666666666664
98247,112.0,1.0,52.34285714,56.0
98546,112.0,0.0,61.40333333,112.0
98831,111.0,5.0,50.33290323,18.5
98443,109.0,0.0,63.3619403,109.0
99344,106.0,1.0,42.41210826,53.0
98077,104.0,0.0,160.8511475,104.0
99204,103.0,1.0,46.27968254,51.5
98392,102.0,1.0,55.79727891,51.0
98576,101.0,0.0,48.88761062,101.0
98541,99.0,1.0,47.59057592,49.5
98675,99.0,0.0,64.02201835,99.0
99403,95.0,4.0,50.58350398,19.0
98281,90.0,3.0,74.82222222,22.5
98339,90.0,1.0,47.71731844,45.0
98592,88.0,1.0,62.59052632,44.0
99022,88.0,11.0,52.60238727,7.333333333333333
98550,82.0,0.0,41.79063232,82.0
99114,82.0,5.0,48.15905512,13.666666666666666
98577,80.0,0.0,45.70464135,80.0
98244,78.0,0.0,49.6536,78.0
98303,78.0,0.0,62.41836735,78.0
98843,77.0,0.0,54.07894737,77.0
99027,77.0,1.0,54.03275862,38.5
99156,76.0,2.0,46.98919753,25.333333333333332
98648,76.0,3.0,55.10150376,19.0
98342,74.0,0.0,71.32597403,74.0
98548,74.0,0.0,49.00510204,74.0
99003,72.0,0.0,56.94122807,72.0
98557,71.0,0.0,49.79057971,71.0
98930,71.0,1.0,37.88823529,35.5
98504,70.0,1.0,,35.0
98940,70.0,0.0,,70.0
98612,70.0,2.0,54.57372881,23.333333333333332
98856,69.0,2.0,42.47777778,23.0
98358,68.0,1.0,68.3075,34.0
98279,64.0,1.0,69.83,32.0
99025,64.0,0.0,62.31708333,64.0
98936,64.0,0.0,53.78458647,64.0
98591,63.0,0.0,50.67484663,63.0
98262,62.0,0.0,61.05777778,62.0
98376,62.0,0.0,57.87857143,62.0
98266,61.0,1.0,38.34507042,30.5
98570,61.0,0.0,48.174375,61.0
98237,60.0,1.0,46.44736842,30.0
98631,60.0,9.0,45.86776316,6.0
98953,56.0,2.0,52.1032967,18.666666666666668
98620,56.0,3.0,47.04880546,14.0
99001,52.0,6.0,39.89359606,7.428571428571429
99009,52.0,0.0,47.08853503,52.0
98588,52.0,0.0,50.2078125,52.0
98595,51.0,3.0,45.60238095,12.75
99141,49.0,2.0,44.73800905,16.333333333333332
99349,47.0,0.0,34.74373089,47.0
98635,46.0,0.0,51.64931507,46.0
98325,45.0,1.0,49.878125,22.5
98851,45.0,1.0,41.48255034,22.5
98937,45.0,1.0,58.48860104,22.5
98068,45.0,2.0,,15.0
99122,45.0,3.0,55.54266667,11.25
98651,44.0,0.0,91.47,44.0
98564,44.0,3.0,46.52929293,11.0
98394,42.0,0.0,67.59195402,42.0
98601,42.0,0.0,59.49285714,42.0
98951,41.0,3.0,33.28533835,10.25
98361,40.0,2.0,52.26,13.333333333333334
99357,40.0,0.0,36.34514563,40.0
98828,40.0,0.0,50.96730769,40.0
98240,39.0,0.0,55.574,39.0
98315,39.0,11.0,36.03135135,3.25
98650,39.0,0.0,67.36041667,39.0
98568,39.0,0.0,43.64056604,39.0
98822,38.0,1.0,42.9,19.0
98571,38.0,2.0,,12.666666666666666
98421,37.0,12.0,,2.8461538461538463
98645,37.0,0.0,55.39056604,37.0
98320,36.0,0.0,50.83148148,36.0
99109,36.0,2.0,47.14210526,12.0
98841,35.0,1.0,39.43454545,17.5
98941,33.0,0.0,,33.0
